age_hhh,rcsi,plw,elderly,hh_size,disabilities ,ipc,sex_hhh,u5,sanitation,housing 
24.26669304,39,0,0,5,0,CEC,Male,2,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
26.45987628,26,1,0,6,0,CEC,Female,2,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
20.16262551,30,1,0,3,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
36.64731014,47,1,0,5,0,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda en arriendo (en material de ladrillo)
33.44489353,34,1,0,4,0,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
25.87473616,30,1,0,7,0,CEC,Female,2,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
32.90239014,31,0,0,5,0,CEC,Female,0,Inodoro conectado a alcantarillado,Otro
32.15226831,40,0,0,3,0,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
35.06754068,50,1,0,3,0,CEC,Male,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
56.93762266,33,0,0,2,2,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
20.55432207,24,0,0,2,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
23.01262697,25,0,0,2,1,CEC,Male,0,Inodoro conectado a pozo séptico,Otro
50.7251499,44,0,0,5,1,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
29.315371,22,1,0,5,2,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
48.557098,39,0,0,2,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
40.07776591,41,0,0,1,0,CEC,Female,0,No tiene servicio sanitario,En la calle
77.68227242,29,0,1,4,2,CEC,Male,1,No tiene servicio sanitario,Vivienda de materiales de desecho
28.99502901,56,0,0,8,1,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
52.58731491,42,0,0,6,0,CEC,Male,1,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
51.9244271,22,0,0,4,3,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
24.08908439,47,1,0,2,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
25.30714305,39,0,0,5,0,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
